Student,Race,Homework #0 (103229),Homework #1 (70214),Homework #2 (70216),Homework #3 (138547),Homework #4 (143256),Homework #5 (148768),Homework #6 (157314),Homework #7 (167572),Homework #8 (171586),Homework #9 (175735),Homework #10 (179601),Quiz #1 (103231),Quiz #2 (103235),Quiz #3 (174170),Midterm #1 (103330),Midterm #1 Take-Home (152885),Midterm #2 (182782),Midterm #2 Take-Home (183001),Final Exam (111956),Final Exam Written Portion (200981),Reflection 8/25 (103643),Reflection 8/27 (103361),Reflection 9/1 (103646),Reflection 9/3 (103645),Reflection 9/10 (103649),Reflection 9/15 (103647),Reflection 9/17 (103650),Reflection 9/24 (103727),Reflection 10/6 (111497),Reflection 10/8 (111498),Reflection 10/13 (111513),Reflection 10/15 (111504),Reflection 10/20 (111502),Reflection 10/22 (111499),Reflection 11/3 (111511),Reflection 11/17 (111506),Reflection 11/19 (111507),Reflection 11/24 (111510),Reflection 12/1 (111508),Reflection 12/3 (111509),Individual Project Paper + PowerPoint (193020),Homework Final Score,Quizzes Final Score,Midterms Final Score,Final Exam Final Score,Reflections Final Score,Project Final Score,Final Score,Final Grade
Student 14,hispanic/latinx,10,10,10,10,10,10,10,9,10,10,20,20,20,17.5,22,20.25,22,21.75,22,6,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,100,99.17,100,86,62.86,53.33,100,84.01,B
Student 15,hispanic/latinx,10,9.5,9.5,9,10,10,8.5,9,11,9,15,19,16,20,22,23.25,20,18.75,15,8.5,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,100,92.08,97.5,84,42.86,100,100,79.08,C+
Student 16,asian,10,10,9,9,9.5,8,10,9,10,9,18,20,18,16.5,24,24,17,22.75,18,9,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,100,92.92,95,87.75,51.43,86.67,100,81.6,B-
Student 17,hispanic/latinx,10,8.5,8.5,0,0,7.5,8.5,9,0,7.5,18,19,18,10,19,17,16,20,15,7,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,100,64.58,92.5,72,42.86,93.33,100,69.15,D+
Student 18,asian,10,10,9.5,9.5,9.5,10,8,10,11,10,18,18,20,15,24,24,21,16.5,15,4.5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,100,96.25,95,85.5,42.86,100,100,80.11,B-
Student 19,caucasian,10,10,10,10,8,10,10,9,11,10,19,0,20,13.5,0,16.25,0,21.75,20,4.25,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,87,97.5,83.75,38,57.14,93.33,87,66.93,D
Student 20,asian,10,9,9,8,0,9.5,0,10,9,7,18,18,20,15,21,15.5,21,22,20,7,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,100,74.58,95,79.5,57.14,100,100,77.55,C+
Student 21,caucasian,10,10,9,9.5,10,9,9.5,10,9,10,19,19,18,17.5,25,18.25,23,21.75,18,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,95.83,92.5,88,51.43,100,100,82.67,B-
Student 22,hispanic/latinx,10,10,10,9.5,9,10,9.5,9,9,9,19,20,20,12.5,22,24,21,23.5,19,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,100,95,100,90.5,54.29,100,100,84.72,B
Student 23,hispanic/latinx,10,10,8.5,10,10,10,9,9,9.5,10,20,18,19,19,20,22,19,19.75,21,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,96.67,95,80.75,60,100,100,83.06,B
Student 24,hispanic/latinx,10,9,8,8.5,10,10,8.5,9,10,10,17,20,19,11,24,23.75,20,17.75,17,6,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,100,91.67,97.5,85.5,48.57,100,100,80.88,B-
Student 25,caucasian,10,10,10,10,9.5,10,10,10,11,9.5,20,19,19,15,25,24.5,23,23.5,18,8,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,100,100,95,96,51.43,100,100,86.16,B
Student 26,caucasian,10,10,10,9.5,9,9,10,9,11,9.5,19,19,17,17.5,22,23.75,21,20.75,21,9,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,100,96.67,91.25,87.5,60,100,100,84.71,B
Student 27,caucasian,10,6,8,0,6,0,0,0,0,8.5,17,20,0,15,20,23.25,25,21,18,5.5,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,100,46.25,87.5,89.25,51.43,66.67,100,70.97,C-
Student 28,caucasian,10,10,10,10,10,10,10,9,10.5,10,20,20,19,15,25,24,25,23.5,18,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,99.58,97.5,97.5,51.43,100,100,86.77,B
Student 29,caucasian,10,10,10,9,10,9.5,10,9,9,9,16.5,19,20,8.5,24,20.25,21,22,18,8.5,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,100,93.33,97.5,87.25,51.43,100,100,82.45,B-
Student 30,asian,10,0,8,9.5,9,8,8,9,7,6,0,18,18,7.5,21,16.75,14,12.25,17,4,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,100,62.08,90,64,48.57,86.67,100,67.09,D+
Student 31,hispanic/latinx,10,9,10,9.5,9.5,10,9.5,9,10,9,20,20,20,16.5,20,20.25,22,17.75,21,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,100,96.25,100,80,60,100,100,83.25,B
Student 32,hispanic/latinx,10,8,9,8.5,8.5,8,8.5,9,9.5,7.5,17.5,17,9,14,19,16.5,15,12.75,13,6,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,100,86.67,77.5,63.25,37.14,100,100,68.34,D+
Student 33,hispanic/latinx,10,10,8,9,10,9,9.5,9,9,0,18.5,19,19,15,17,22.75,20,17,21,6,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,100,85,95,76.75,60,100,100,79.53,C+
Student 34,caucasian,10,10,7,9,9,10,8,10,9.5,8.5,17,19,19,10,25,14.5,17,22.5,12,0.5,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,,1,0,0,100,90,95,79,34.29,80,100,73.77,C
Student 35,hispanic/latinx,10,8.5,9,9.5,10,8.5,8.5,10,9,9,17,20,15,16.5,20,18.25,23,16,13,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,100,90.83,91.25,77.25,37.14,100,100,74.75,C
Student 36,caucasian,10,10,10,10,10,10,10,10,10.5,10,20,20,19,15,25,23.25,25,22.25,18,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100.42,97.5,95.5,51.43,100,100,86.34,B
Student 37,hispanic/latinx,10,7.5,10,9,7,9.5,8,9,10,8.5,17,18,17,15,17,17.75,19,19.25,20,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,100,87.92,87.5,73,57.14,100,100,77.52,C+
Student 38,caucasian,10,9,6.5,7,10,9,8,9,10,8.5,15.5,20,19,10,24,25,20,15.75,18,6,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,,1,1,0,100,85.42,97.5,84.75,51.43,86.67,100,79.45,C+
Student 39,asian,10,9,9.5,9.5,8.5,9,8.5,9,10,6.5,6,20,17,17.5,22,20.75,24,14.5,23,6.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,100,79.58,93.75,81.25,65.71,100,100,81.1,B-
Student 40,caucasian,10,10,7,8.5,8,10,10,9,9.5,10,0,17,15,20,22,19.5,22,20,15,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,100,76.67,92.5,83.5,42.86,100,100,75.35,C
Student 41,hispanic/latinx,10,9,10,9.5,9,8.5,8.5,10,10.5,10,19,20,20,15,18,21.75,22,23.5,16,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,100,95,100,85.25,45.71,100,100,81,B-
Student 42,asian,10,9,7,8.5,9.5,10,3,9,9.5,7,15.5,20,20,8.5,19,24,21,16.5,18,4,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,,1,1,1,100,81.67,100,80.5,51.43,100,100,78.34,C+
Student 43,asian,10,9.5,10,8.5,9.5,10,9,10,10.5,9,18,19,16,10,22,24,19,20.5,22,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,95,87.5,85.5,62.86,100,100,84.11,B
Student 44,hispanic/latinx,10,9,9.5,8.5,9,9.5,10,9,9,7.5,16.5,20,20,15,19,21.75,21,19.75,18,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,89.58,100,81.5,51.43,100,100,80.22,B-
